ts,frame_hex,u16_1_2,u16_3_4,u16_5_6,u16_7_8,u16_9_10,u16_11_12,u16_13_14,u16_15_16,u16_17_18,u16_19_20,u16_21_22,u16_23_24,u16_25_26,u16_27_28,u16_29_30,u16_31_32,u16_33_34
2026-08-05T02:01:56.923419+00:00,a55a25821000140303e400260001005c0025002400000c8200000001000100350001000100010000,5123,996,38,1,92,37,36,0,3202,0,1,1,53,1,1,1,0
2026-08-05T02:01:57.425312+00:00,a55a25821000140403e400270001005c0025002400000c8300000001000100330001000100010000,5124,996,39,1,92,37,36,0,3203,0,1,1,51,1,1,1,0
2026-08-05T02:01:58.027434+00:00,a55a25821000140403e400280001005c0025002400000c8300000001000100340001000100010000,5124,996,40,1,92,37,36,0,3203,0,1,1,52,1,1,1,0
2026-08-05T02:01:58.629424+00:00,a55a25821000140403e000290001005c0025002400000c8300000001000100350001000100010000,5124,992,41,1,92,37,36,0,3203,0,1,1,53,1,1,1,0
2026-08-05T02:01:59.131533+00:00,a55a25821000140603e7001f0001005c0025002400000c8400000001000100330001000100010000,5126,999,31,1,92,37,36,0,3204,0,1,1,51,1,1,1,0
2026-08-05T02:01:59.733713+00:00,a55a25821000140603e700200001005c0025002400000c8400000001000100340001000100010000,5126,999,32,1,92,37,36,0,3204,0,1,1,52,1,1,1,0
2026-08-05T02:02:00.335907+00:00,a55a25821000140703e000210001005c0025002400000c8400000001000100350001000100010000,5127,992,33,1,92,37,36,0,3204,0,1,1,53,1,1,1,0
2026-08-05T02:02:00.837877+00:00,a55a25821000140703e400220001005c0025002400000c8400000001000100330001000100010000,5127,996,34,1,92,37,36,0,3204,0,1,1,51,1,1,1,0
2026-08-05T02:02:01.439998+00:00,a55a25821000140803e400230001005c0025002400000c8500000001000100340001000100010000,5128,996,35,1,92,37,36,0,3205,0,1,1,52,1,1,1,0
2026-08-05T02:02:02.042037+00:00,a55a25821000140803e000240001005c0025002400000c8500000001000100350001000100010000,5128,992,36,1,92,37,36,0,3205,0,1,1,53,1,1,1,0
2026-08-05T02:02:02.543987+00:00,a55a25821000140803e400250001005c0025002400000c8600000001000100330001000100010000,5128,996,37,1,92,37,36,0,3206,0,1,1,51,1,1,1,0
2026-08-05T02:02:03.146291+00:00,a55a25821000140a03e40026000100590025002400000c8600000001000100340001000100010000,5130,996,38,1,89,37,36,0,3206,0,1,1,52,1,1,1,0
2026-08-05T02:02:03.748356+00:00,a55a25821000140903e40027000100590025002400000c8600000001000100350001000100010000,5129,996,39,1,89,37,36,0,3206,0,1,1,53,1,1,1,0
2026-08-05T02:02:04.250202+00:00,a55a25821000140a03e40028000100590025002400000c8600000001000100330001000100010000,5130,996,40,1,89,37,36,0,3206,0,1,1,51,1,1,1,0
2026-08-05T02:02:04.852476+00:00,a55a25821000140a03e40029000100590025002400000c8700000001000100340001000100010000,5130,996,41,1,89,37,36,0,3207,0,1,1,52,1,1,1,0
