ts,soc,battery_voltage,battery_current,charge_power,grid_import_power,cycle_count,soh,temp_battery
2026-08-05T02:01:56.722533+00:00,1.0,51.1,9.96,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:02:06.744435+00:00,1.0,51.1,9.96,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:02:16.766952+00:00,1.0,51.1,9.96,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:02:26.788346+00:00,1.0,51.400000000000006,9.92,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:02:36.809114+00:00,1.0,51.400000000000006,9.92,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:02:46.830828+00:00,1.0,51.400000000000006,9.92,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:02:56.851567+00:00,1.0,51.7,9.89,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:03:06.872866+00:00,1.0,51.7,9.89,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:03:16.893734+00:00,1.0,51.7,9.89,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:03:26.913893+00:00,2.0,51.900000000000006,9.89,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:03:36.936784+00:00,2.0,51.900000000000006,9.89,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:03:46.957233+00:00,2.0,51.900000000000006,9.89,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:03:56.976796+00:00,2.0,52.1,9.86,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:04:06.997008+00:00,2.0,52.1,9.86,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:04:17.022306+00:00,2.0,52.1,9.86,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:04:27.041638+00:00,2.0,52.300000000000004,9.75,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:04:37.065949+00:00,2.0,52.300000000000004,9.75,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:04:47.087567+00:00,2.0,52.300000000000004,9.75,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:04:57.108229+00:00,2.0,52.5,9.82,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:05:07.128944+00:00,2.0,52.5,9.82,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:05:17.151258+00:00,2.0,52.5,9.82,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:05:27.171327+00:00,3.0,52.6,9.75,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:05:37.193555+00:00,3.0,52.6,9.75,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:05:47.214983+00:00,3.0,52.6,9.75,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:05:57.236139+00:00,3.0,52.7,9.72,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:06:07.257387+00:00,3.0,52.7,9.72,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:06:17.276924+00:00,3.0,52.7,9.72,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:06:27.303275+00:00,3.0,52.900000000000006,9.72,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:06:37.326148+00:00,3.0,52.900000000000006,9.72,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:06:47.350276+00:00,3.0,52.900000000000006,9.72,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:06:57.372516+00:00,4.0,52.900000000000006,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:07:07.394304+00:00,4.0,52.900000000000006,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:07:17.415236+00:00,4.0,52.900000000000006,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:07:27.435730+00:00,4.0,52.900000000000006,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:07:37.457125+00:00,4.0,52.900000000000006,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:07:47.478144+00:00,4.0,52.900000000000006,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:07:57.499153+00:00,4.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:08:07.519474+00:00,4.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:08:17.540850+00:00,4.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:08:27.562298+00:00,5.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:08:37.581999+00:00,5.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:08:47.604044+00:00,5.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:08:57.626869+00:00,5.0,53.0,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:09:07.648913+00:00,5.0,53.0,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:09:17.670459+00:00,5.0,53.0,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:09:27.693330+00:00,5.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:09:37.717878+00:00,5.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:09:47.739927+00:00,5.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:09:57.761698+00:00,6.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:10:07.784700+00:00,6.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:10:17.807554+00:00,6.0,53.0,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:10:27.829513+00:00,6.0,53.1,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:10:37.851405+00:00,6.0,53.1,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:10:47.874352+00:00,6.0,53.1,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:10:57.895018+00:00,6.0,53.1,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:11:07.915377+00:00,6.0,53.1,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:11:17.941440+00:00,6.0,53.1,9.65,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:11:27.963499+00:00,6.0,53.1,9.68,5000.0,6000.0,53.0,87.0,33.0
2026-08-05T02:11:37.986032+00:00,6.0,53.1,9.68,5000.0,6000.0,53.0,87.0,33.0
